region,province,city,district,psgc,xcode
Region I,Ilocos Norte,Laoag City,"Bgy. No. 32-A, La Paz East",012812030,01IN12030
Region I,Ilocos Norte,Laoag City,"Bgy. No. 33-A, La Paz Proper",012812031,01IN12031
Region I,Ilocos Norte,Laoag City,"Bgy. No. 52-B, Lataag",012812032,01IN12032
Region I,Ilocos Norte,Laoag City,"Bgy. No. 60-B, Madiladig",012812033,01IN12033
Region I,Ilocos Norte,Laoag City,"Bgy. No. 38-A, Mangato East",012812034,01IN12034
Region I,Ilocos Norte,Laoag City,"Bgy. No. 38-B, Mangato West",012812035,01IN12035
Region I,Ilocos Norte,Laoag City,"Bgy. No. 62-A, Navotas North",012812036,01IN12036
Region I,Ilocos Norte,Laoag City,"Bgy. No. 62-B, Navotas South",012812037,01IN12037
Region I,Ilocos Norte,Laoag City,"Bgy. No. 46, Nalbo",012812038,01IN12038
Region I,Ilocos Norte,Laoag City,"Bgy. No. 51-A, Nangalisan East",012812039,01IN12039
Region I,Ilocos Norte,Laoag City,"Bgy. No. 51-B, Nangalisan West",012812040,01IN12040
Region I,Ilocos Norte,Laoag City,"Bgy. No. 24, Nstra. Sra. De Consolacion",012812041,01IN12041
Region I,Ilocos Norte,Laoag City,"Bgy. No. 7-A, Nstra. Sra. De Natividad",012812042,01IN12042
Region I,Ilocos Norte,Laoag City,"Bgy. No. 7-B, Nstra. Sra. De Natividad",012812043,01IN12043
Region I,Ilocos Norte,Laoag City,"Bgy. No. 27, Nstra. Sra. De Soledad",012812044,01IN12044
Region I,Ilocos Norte,Laoag City,"Bgy. No. 13, Nstra. Sra. De Visitacion",012812045,01IN12045
Region I,Ilocos Norte,Laoag City,"Bgy. No. 3, Nstra. Sra. Del Rosario",012812046,01IN12046
Region I,Ilocos Norte,Laoag City,"Bgy. No. 57, Pila",012812047,01IN12047
Region I,Ilocos Norte,Laoag City,"Bgy. No. 49-B, Raraburan",012812048,01IN12048
Region I,Ilocos Norte,Laoag City,"Bgy. No. 53, Rioeng",012812049,01IN12049
Region I,Ilocos Norte,Laoag City,"Bgy. No. 55-B, Salet-Bulangon",012812050,01IN12050
Region I,Ilocos Norte,Laoag City,"Bgy. No. 6, San Agustin",012812053,01IN12053
Region I,Ilocos Norte,Laoag City,"Bgy. No. 22, San Andres",012812054,01IN12054
Region I,Ilocos Norte,Laoag City,"Bgy. No. 28, San Bernardo",012812055,01IN12055
Region I,Ilocos Norte,Laoag City,"Bgy. No. 17, San Francisco",012812056,01IN12056
Region I,Ilocos Norte,Laoag City,"Bgy. No. 4, San Guillermo",012812057,01IN12057
Region I,Ilocos Norte,Laoag City,"Bgy. No. 15, San Guillermo",012812058,01IN12058
Region I,Ilocos Norte,Laoag City,"Bgy. No. 12, San Isidro",012812059,01IN12059
Region I,Ilocos Norte,Laoag City,"Bgy. No. 16, San Jacinto",012812060,01IN12060
Region I,Ilocos Norte,Laoag City,"Bgy. No. 10, San Jose",012812061,01IN12061
Region I,Ilocos Norte,Laoag City,"Bgy. No. 1, San Lorenzo",012812062,01IN12062
Region I,Ilocos Norte,Laoag City,"Bgy. No. 26, San Marcelino",012812063,01IN12063
Region I,Ilocos Norte,Laoag City,"Bgy. No. 52-A, San Mateo",012812064,01IN12064
Region I,Ilocos Norte,Laoag City,"Bgy. No. 23, San Matias",012812065,01IN12065
Region I,Ilocos Norte,Laoag City,"Bgy. No. 20, San Miguel",012812066,01IN12066
Region I,Ilocos Norte,Laoag City,"Bgy. No. 21, San Pedro",012812067,01IN12067
Region I,Ilocos Norte,Laoag City,"Bgy. No. 5, San Pedro",012812068,01IN12068
Region I,Ilocos Norte,Laoag City,"Bry. No. 18, San Quirino",012812069,01IN12069
Region I,Ilocos Norte,Laoag City,"Bgy. No. 8, San Vicente",012812070,01IN12070
Region I,Ilocos Norte,Laoag City,"Bgy. No. 9, Santa Angela",012812071,01IN12071
Region I,Ilocos Norte,Laoag City,"Bgy. No. 11, Santa Balbina",012812072,01IN12072
Region I,Ilocos Norte,Laoag City,"Bgy. No. 25, Santa Cayetana",012812073,01IN12073
Region I,Ilocos Norte,Laoag City,"Bgy. No. 2, Santa Joaquina",012812074,01IN12074
Region I,Ilocos Norte,Laoag City,"Bgy. No. 19, Santa Marcela",012812075,01IN12075
Region I,Ilocos Norte,Laoag City,"Bgy. No. 30-B, Santa Maria",012812076,01IN12076
Region I,Ilocos Norte,Laoag City,"Bgy. No. 39, Santa Rosa",012812077,01IN12077
Region I,Ilocos Norte,Laoag City,"Bgy. No. 14, Santo Tomas",012812078,01IN12078
Region I,Ilocos Norte,Laoag City,"Bgy. No. 29, Santo Tomas",012812079,01IN12079
Region I,Ilocos Norte,Laoag City,"Bgy. No. 30-A, Suyo",012812080,01IN12080
Region I,Ilocos Norte,Laoag City,"Bgy. No. 31, Talingaan",012812081,01IN12081
Region I,Ilocos Norte,Laoag City,"Bgy. No. 45, Tangid",012812082,01IN12082
Region I,Ilocos Norte,Laoag City,"Bgy. No. 55-C, Vira",012812083,01IN12083
Region I,Ilocos Norte,Laoag City,"Bgy. No. 44, Zamboanga",012812084,01IN12084
Region I,Ilocos Norte,Marcos,Pacifico,012813001,01IN13001
Region I,Ilocos Norte,Marcos,Imelda,012813003,01IN13003
Region I,Ilocos Norte,Marcos,Elizabeth,012813004,01IN13004
Region I,Ilocos Norte,Marcos,Daquioag,012813005,01IN13005
